author,video_id,likes,replies
33944,UiwvwUwSE7k,0,0
34809,8a-r7FOhjOA,0,0
24720,Rs3itc0fwH4,0,0
52995,hPL1i6M-qVQ,2,0
43552,vZIg9RM18us,2,0
12637,V0f3IXzc530,1,0
2559,1ZeDVEvjWPI,0,0
39020,Rv2kd1w6AgM,0,0
55744,fJAbH4UdciM,0,0
45134,JuHzQdbr1Rc,0,0
12512,uC2913iTeh8,0,1
3802,sILOmSToZl8,0,0
41263,iJGPkv0ebFM,0,0
34740,wQFOpL3oYa0,0,0
9034,O9A8fheH59A,0,0
6015,yq-mkhSMxWA,0,0
4236,-MqnE7TPcRw,4,0
35047,hlzAhIl482c,0,0
14711,3394PCpyhV8,0,0
51315,wCGchxLH33I,0,0
54089,_Jdy2A4TZDU,0,0
50560,EdjjOxEDlwU,0,0
29133,BcScFB6z4XY,1,0
28191,b45fCALKYCI,2,0
10369,-F1sgV1OdGw,0,0
22901,ZmpPB5rIMDI,0,0
35225,BTm-96fmMkE,0,0
17701,KOpy23FafQE,0,0
11833,DL1jaFUwAfM,0,0
51853,3anDT7yq7a0,1,0
32792,iEEJx3oiSWg,0,0
7076,Sv72U5DZqbs,0,0
31547,9wclrnCxe6Y,0,0
37926,l4HWbPIJMrI,0,0
9491,q9K9b12FOSg,1,0
13217,NRBGaI8DVqQ,1,0
26635,OZZ4J3P6I9Q,0,0
60818,rOgE6hwfHps,0,0
16199,EaFRZc63sOA,0,0
53545,mEoJdJsvX2I,5,2
16912,7RFwQn68lG4,7,0
53060,ffpvIg4tZbI,0,0
25098,A_Pnte_niJE,0,0
9490,Amhqdbj0vpQ,0,0
3653,cSwa2IltFUU,0,0
626,SC1OWGC1gxU,0,0
56624,JIDU42CVUhg,0,0
52319,tuhY_L9mKic,0,0
52943,ZGWPbI8tTQI,0,3
58087,g7_h48EKwW4,1,0
6137,tLuoHG2yDok,0,1
16912,xUzaUyftmuc,0,0
9180,VxqB_0slueM,7,0
61351,JKg-PjV-s8o,2,0
12516,vrvZtKxzMxQ,0,0
6720,LmC9Ofmkjoo,321,68
63254,IN019ubcJQA,0,0
27063,v26nVoCWkH8,0,0
7731,hqgH9RIVlhc,6,0
34112,ZD_VMXpcNkA,2,0
18954,D1gPTrjg5TQ,2,0
59600,NhheiPTdZCw,0,0
8411,TcMBFSGVi1c,0,0
59963,AKcjkkz8ax8,0,0
20180,WAKj9gQ6RC8,0,0
4150,-mkYiMaGVRk,0,2
32325,WzWCUeae4Bs,0,0
51343,kukdqqwPYc8,5,0
65186,o0LOuzfNbIk,0,0
23235,2nTynNoUCxQ,0,0
2843,xVVQ_DMGfuU,8,0
46797,su8IHV0AH2o,0,0
40302,pVZyOkd-TjE,0,0
59585,zLyRTpmhx68,0,0
54882,bQI2rt_qO4k,3,0
49144,22cdBDK-8hk,0,0
44805,-6X1_MjCL30,0,0
31524,oHTmbMS1mss,0,0
11393,fBc4Q_htqPg,0,0
44649,hA490oCiWb4,0,0
22924,u2nr6_mK5SE,0,0
2321,dPnSE7UBY5s,0,0
4565,zGMD2AUZpr4,0,0
27973,X9l_KnrTi2I,0,0
9524,sot8Zyv7Z_U,0,0
34837,9Fz_lwLauTc,2,0
9357,K6QOHfazDQs,0,0
60665,rwIHga4OPIY,0,0
35277,HS1OLc1WWnY,0,0
50560,I-57lfgF2fo,0,0
49474,nGt_JGHYEO4,0,0
51319,BCOhdoEYTtU,16,5
11469,xhAcq9yB1fQ,0,0
1698,8JsQ7EFbLLQ,0,0
34990,Z_sX3stpB8o,2,0
16912,PPSMOpzkssM,0,0
58860,8_rTIAOohas,1,0
11413,xRe71Ds7hSE,0,0
10859,mfB1PbDSIGc,0,0
27368,Jhw834CL9pA,0,0
745,w3Ze4FG30_Y,0,0
58011,G-aI9BkZOAA,0,0
43185,5KuGUP-C9Ko,1,0
51712,Rzxr9FeZf1g,1,0
7908,SkXux-bc5es,0,0
23952,jVvhWQVbR-g,0,0
64284,_EqudXF5BWY,0,0
54822,lDOzTalDX78,0,0
22605,J06OdFkPums,0,0
43171,2ldZ8sIH3wY,0,0
38956,SkXux-bc5es,2,0
39648,ZJ_myYpTRHU,4,0
57,2IlQYsDEKGU,3,0
34378,0aIRaC3aAuk,1,0
3137,ez4cuDaB11w,0,2
50394,RZNr_ZOeDcQ,0,0
35925,fh6f7pWUAbk,2,0
59013,KahYCGFlKTQ,0,1
64319,iiG-8cmQrKE,0,0
46128,k4yXQkG2s1E,0,0
62678,VleAgheg2cE,0,0
59554,x9qhzCXP01U,0,0
25455,sXIr_K8l5lg,13,0
18100,uGcsIdGOuZY,0,0
52538,gpbGPL_PcRc,4,2
9392,F494TheUMus,0,0
269,sGmNtHeaxfY,1,0
7880,A1sgVb3YBAI,0,0
54822,gczbzEnzois,0,0
22333,GaxEpTsPtKU,0,0
60505,WtdV_GuS7_8,0,0
35049,8zCV9PyEkPE,0,1
61489,tGNjFrOUhnc,0,0
13572,uQCV5iVCpx4,0,0
12738,dX_1B0w7Hzc,0,0
61104,C04cxIUMpGM,0,0
58087,TWbugA-De1I,1,0
21818,0lSy9m-Z8Kw,0,0
56962,IDLiXntVRjY,0,0
40119,f5XOUP88yBQ,0,0
16863,ZRnb28SkFxQ,0,0
58087,biu8T23811k,1,0
16750,adWCk6jhJ-s,0,0
40441,sIMlUZdarBo,2,0
37498,9Sx0ssL8V50,0,0
63790,SenOeiLOmL0,0,0
13255,YUyuIcy_Lg4,0,0
4841,RIZgOb6k42c,0,0
43203,aZf0Z-8eTD0,0,0
45088,0HVcdcZ-67E,0,0
11807,XPZ6TiDPnE4,0,0
41274,FqwEPlt-Xyo,1,0
30958,l9deMdSNUks,0,0
2457,wTgrZE9RWNY,7,1
1175,amPcfOZtYwo,0,0
59284,aTgxG6LPh9w,0,0
60876,pkFSuXJoEBI,0,0
22911,_LgloTdbaxg,0,0
1735,9zdHLZVDQjw,0,0
49437,_j-fMjJj2DA,0,0
4339,0zx_lakXJ1Q,0,0
29104,YgCR-vaXsTk,0,0
12304,VvH07fUL9dg,1,0
21249,SyreGJNLb6I,0,0
62302,A7AJ7AX1RvQ,0,0
40850,Dnc5gubAtHU,1,0
16688,hVyWHsElhME,0,0
58087,aSOny3Zd7oY,0,0
804,L0ZXKeqxovU,0,0
58087,rWR9q9KlclQ,0,0
16912,XciAlyPazmY,0,0
21726,7WahBH9sANg,0,0
27517,pO6oXn6Cm4E,0,0
13190,pt7bwc4ldII,0,0
15229,RcMsaK2edro,0,0
45478,v5wNqSE-EmU,0,0
31351,SQN86FjdW6E,1,0
6494,2Ftd9usKS4M,0,0
9893,op1bHxxXJTs,0,0
63730,ChMr7AuVSPg,0,0
58087,Yt8oZ5AZ5u4,0,0
57054,OLyCnyjZfTY,0,0
8222,gFPxZiZ_LIQ,0,0
3803,jDp-8C_rQ8I,0,0
58924,gB67fkjc9jY,0,0
28104,TYIEj51j17g,0,0
53238,4giWme8Bq1M,0,0
42471,_qmlW_jIsMY,1,0
1026,ikMZEt3XrfY,0,0
58087,4_sF8WvbCvk,0,0
17612,ciuwIlJCn3Y,0,0
8158,jkXeVzM16as,0,0
8877,6fp9gaFfo0s,0,0
55357,D3WZpQZ1bx0,0,0
58087,p-r5czwooMo,1,0
61148,VstabYScbow,0,0
11521,RW1bYpnv948,0,0
62410,f9KQE_bfvqI,0,0
44722,L0xD0bIhfAY,0,0
60392,UWGtZ9Oqcwc,0,0
1735,fzXgmvGngBI,0,0
57421,-c-1E1-76iI,1,0
51322,C6JZfYDMCR8,1,1
33352,nVnZ8Mv8FVg,0,0
1772,ojdbDYahiCQ,0,0
25740,UVpsxPJjAPg,1,0
58087,mGyGkL7pDdw,0,0
37922,l-8i1Xdiyco,1,0
58765,t1AuPrdDYzQ,0,0
21544,Yl9Oq9dyWb8,1,1
63258,UiyRN1h9elw,0,0
4451,rbw9xHxozgU,0,0
11655,rjPcq5pce9Y,0,1
46436,Kih0NFVtNO0,0,0
28496,5EaXNOe9PIY,2,0
48853,_SE0BL3eOqU,1,0
6688,_S_y1D0MaxQ,0,0
8158,BSlfjuww5jo,0,0
62302,CCVX-h_OVzE,3,0
11546,o7NcaIdVOwY,0,0
1426,p-GhdnpZ_CA,0,0
58087,TWbugA-De1I,1,0
63794,a9B3tabmmoA,1,0
58087,4_sF8WvbCvk,0,0
27385,yIycv4LFx00,0,0
19417,zbnZqLiSOyM,0,0
7078,54Sv6zU008s,1,0
9239,3nffnMW79hY,0,0
46670,yKftNkBXsPI,0,0
20926,Bcx2-PMMkXM,0,0
57869,34Na4j8AVgA,0,0
10714,4DRIFQLqeyo,0,0
46151,oFN4cHXWjTw,3,0
45579,t9LYICfnurY,0,0
11832,ddd2xqsdk3M,0,0
64771,soDfteGzYjk,0,0
55634,nmTpkUM3Kvw,1,0
5378,P0phvC653_I,0,0
2574,hCrlpV1y23A,0,2
9277,QV7CanyzhZg,0,0
59652,QBb8_hVQ300,1,0
12978,GUfZOz0S6K8,0,0
11652,YSLADnTyIVQ,0,0
4206,qB-xE5R3Y8w,0,0
11233,SEcEPiny11s,1,0
28155,fvrZVlUgWEg,0,3
15494,4n9m5Bx1pNY,0,0
49049,wsVGz7Iw2ng,0,0
12436,AByfaYcOm4A,270,13
26890,iJWokLDI-xQ,0,0
299,p_urSZF9D9k,0,0
16912,wyv-gYBGXZs,0,0
22570,3niBLMA_KAA,0,0
32993,gAYL5H46QnQ,0,0
58087,I7P7WQXoay4,0,0
64042,jIqGS8Ae-0M,0,0
40493,fEkZF_HMk4M,0,0
36672,hCBX28p-4JY,1,0
10952,n7wpw-27zW4,0,0
13522,8s00qIZMgg4,0,0
33895,9NdZZC4Qf6w,0,0
12748,2D504r7TKMo,0,0
54909,YZJLwK_99KI,0,0
63609,znWdMBBwAK4,1,0
1276,r189nz271xY,0,0
61372,h-DKrJ44SPw,0,0
54596,z3ECU6xtp68,0,0
961,T4epRgtGupo,0,0
10171,xDjrk_NWjyU,0,0
37926,CzXpBWt9pCM,0,0
50476,SAWo-ZnIX-w,0,0
63628,Y6A8wBRoUXE,0,0
34841,PZE7uhEqPPk,0,0
47378,Ivt-CZc4LxQ,1,0
20611,Tl_DhdKDWRQ,0,0
41967,CCaT-yqZrsw,2,0
42844,AWpsOqh8q0M,0,0
59284,HRf5gMTDdcU,0,0
39643,wOT7Wy3luU8,7,0
13163,OrkuU3npdEE,0,0
11807,OacbmuaRcBE,0,0
27430,TzwP_RHDy1I,0,0
54822,8bSc5-61BXA,1,0
35225,63LBPY3VXlY,1,0
51956,esPamlL1vKE,6,0
22760,IsdCdia-UGo,0,0
26142,PPdE3rbqf_Q,0,0
20640,n1FHgcbpcao,0,0
23217,ws2jlxXI28k,0,0
16912,L28q8GZkVgc,1,0
26589,nl-ggJwHDyg,0,0
1686,9WSYosjjrl8,0,0
22291,8kan2J6Vo5A,0,3
60419,mLMMZh-HNTE,4,7
62684,QwZ7JV039tg,0,0
43341,be1CKgQuVLc,0,0
31887,7ghzmXMFTQQ,0,0
12439,jZwQUKf7En4,3,0
5337,CGPUuhEJ9bQ,0,0
25899,5YuGHBmv9wk,2,0
20694,vCJ6U7mQmYw,5,0
19839,pEwSOE5B4bw,0,0
