display_id,num_comms
Ebhmqmkiylg,27.0
VsL6V7vHrX8,39.0
fj36wkbFyyU,1.0
CTn5WLU46JI,0.0
hsfm4Nbn79g,808.0
VDdasyM6lgk,105.0
aJC5KYgO6O0,110.0
lZPTgLpAzeU,14.0
QXJl7mEB-B4,0.0
nIdnyITxVA4,26.0
7JfkxS_zHQ4,12.0
CrYVPCo4H2I,0.0
jiuUuGc7s30,0.0
OYh6axgIkPI,17.0
zVmHIyURZR4,0.0
Qpq8B3VdxJg,48.0
h8yLz3-T9Wc,1006.0
9ohnk7FEkG8,82.0
ULMtCxEYgE4,13.0
ZW-42BBmtnU,470.0
kSQaSEuH4aI,2.0
tgRKDOMfsB4,21.0
0S9R_Mel_lo,0.0
lQE_d2TZSfA,0.0
SyUdF8Rx7BQ,0.0
rt3wYhwYA9k,12.0
bX59-sU19Cc,5.0
kcXkG9xlGKg,11.0
TbzNA_DN8rY,3.0
Om-dHmeie-k,15.0
sgHiYR4_fFI,2.0
pSOHXreNhU0,0.0
-No1ohqZ5YU,143.0
G48N0Nkf030,9.0
odbY8LjhNJ8,15.0
BDEKGSt-WpA,0.0
LWjjRmcTvAg,0.0
eYE_tktps1M,2.0
TbgdeZYiZf4,3.0
FMU_m-KbqMI,68.0
pOhpAN_LnbA,18.0
9B0kojUpSSc,0.0
gw51Miy-9y4,2.0
3dt2VCLRXes,0.0
8jLFPoPesx4,19.0
eNUi_5PfKko,111.0
Jo3p8XxHttI,3.0
8wo5IKTlugY,11.0
8QF4UejcJIU,148.0
eaveUOPk5Bw,3.0
25yw56a_I_Q,0.0
QfdMtzcgUjQ,3.0
Ny-Q103sh4g,1.0
rW5oPA00XUY,97.0
8C3mDPFs-xU,8.0
OmfJ3Ik_4-0,92.0
_stdkIqqaZA,6.0
Yg_-v227Z-I,0.0
8-JE4DFDMus,712.0
pvw_RnAsGq8,1.0
u4Tqu7UmA0Q,249.0
ITLviA67ZWU,0.0
jqKhXmZt2bI,0.0
AzR3uLZxY7s,0.0
qIH2-6za4VU,32.0
1IAM8W_Ry0I,7.0
bzPS4nYdzmg,112.0
46zb9XzgTbA,18.0
04dCUK43y2c,0.0
R4rR-CpQkbc,0.0
u0JNESvdSJg,92.0
Qu9BV__yGp4,5.0
YyS45hPW_mE,5626.0
WDV68wT8Wk4,10.0
XmlqFTkJHhw,258.0
xPQ3orC4aOQ,195.0
S2Nn3m8bbs4,1.0
4Ah5L9MzN9A,7.0
f9U5uUurxak,111.0
6lkRwCpttw8,0.0
fTz2bTF88vc,50.0
jDe-I3RuEjo,42.0
lxjiMeLT-aY,623.0
O9OYcLfehBY,46.0
opP-1nZxqYM,109.0
nVZFZdvezCg,3.0
oj4m5irIVu8,2.0
Xv9AJxc4xMw,115.0
EvmVImFMALI,52.0
ictqMKHUXbY,536.0
ARpGD7P1hVs,40.0
vTwct3G-wBQ,217.0
qC0fZZFB2XU,11.0
5pAlkw5zhOc,0.0
bf0DRHTTFKg,20.0
H8rykrBEy58,0.0
t8qBmWkZyqw,0.0
jYKOs00iFKA,0.0
S4xhd4gsauU,6.0
5gp6B63JMBM,59.0
jHKiv3xNjj4,4.0
614y19WmOCE,5.0
bBuaYDywFXI,0.0
4kDzhyqS4hk,26.0
KFZ_bLGtrdU,0.0
VeZ0wMM3emA,1.0
Ckct__LhQqQ,6.0
-XlI_yovdB0,71.0
rjzh-sqH2X8,41.0
GpgWSIMMbjg,19.0
K0Hne64vz2M,1269.0
EgqZiNPH0d0,0.0
5QJhKJ0hQtw,1.0
IMZI5-P8TWQ,656.0
ZfW24Gm_1ZM,1459.0
xC7C5W-hJsI,276.0
JvLT_WbI4Xs,0.0
Cok3Bidh7ww,2.0
M_4Jfl8y6Xw,5.0
Dxquf-uUU5M,0.0
jlhuJLKyvq0,15.0
a2JjbLBW4OY,1.0
b-Dj0NE-dxQ,8.0
dwV8AyJ8FS0,5.0
3eeZ905ggRo,214.0
l12-M5Vdrqs,3.0
69yHxzc-9Fg,0.0
XLbaB-6icmQ,44.0
ufFs-nEyPk8,16.0
A0O4sc7Jxl8,1.0
syx-QNpI468,33.0
Vl6melaoBLw,0.0
2GE3N_S2Bhg,9.0
7a6D0Y1bA_M,0.0
XRKF0J5qvto,1.0
Y5FocZdTkXA,5.0
Wq28WU21W4w,0.0
kiRQ7TuokbQ,5.0
-Zw7eGlUpSw,78.0
9izRKUMrfNY,33.0
ZJJDGyTN4ks,6.0
WVeaoqtXT6A,0.0
3dyAWBMF6bE,99.0
PFutHhRr3tE,1.0
ci8A_6WiHYM,0.0
NQ7pJEWgpUY,3.0
rwCH4-kUb2Q,0.0
FV_UjJwF0gI,875.0
TyJgC5HNFiU,2.0
sNXjYnEQPCM,7.0
Wizm6S5w1Bo,17.0
p-87Wu2f_hY,994.0
mV6daTSH-sk,0.0
C6myKkJG2oY,0.0
6WJ-ypUj3Lc,447.0
TcHtTrXqoho,2.0
nKOs8B9sJ5o,0.0
wylQiqdvdUY,6.0
-jzZLys9GOk,13.0
t8uVuWOnovQ,0.0
FunkITNq3I0,7.0
1UWwIjOzsTU,8.0
SvPWtIknXSo,0.0
s5PUVhZHxsU,1.0
_larWgRs5nM,173.0
oqY57no6mLQ,0.0
ji4kVnpkahw,0.0
TdvpSgSdQdE,0.0
1Q2I9yZp77k,0.0
jyHUSEfO79A,1.0
_be-t_5yspc,29.0
B2GT1QtAB7U,13.0
Qx_NZGDekCU,0.0
osmCSjnwLao,5.0
6yuETIO5vug,25.0
k60DGmTisj4,0.0
xo0ndoYjun8,165.0
IpfC65GLpzs,90.0
zioDe0XoNI8,0.0
Vz3bAtoCxXI,13.0
Z7oEof8fZiw,857.0
