categories,channel_id,dislike_count,display_id,duration,like_count,upload_date,view_count
Entertainment,UCf25l5VFL3N20nH7L2gZeqQ,1.0,NXtmEYTuyZo,580,107.0,2017-02-20,1658.0
Music,UCf25l5VFL3N20nH7L2gZeqQ,9.0,1EvjnZwWric,471,212.0,2014-03-21,9504.0
Gaming,UCf1u0VYm6PDejGsp77IbOpA,2.0,CRG22ZMk-VE,262,29.0,2018-04-07,422.0
Music,UCf1CGUPAfwxpxt47WNtjb3w,0.0,_lhSTXu9cUo,796,10.0,2017-09-20,228.0
Entertainment,UCf15rrdjNzFt3ebxzxhNQGw,1.0,y6VdCz_cpgE,5067,0.0,2017-12-28,388.0
Gaming,UCf0zPMiJFqTXaOAfoTHPbSQ,0.0,MdX2dAk4DbI,169,33.0,2018-03-18,671.0
Science & Technology,UCf0qcs94kD-VkGBheSJakQQ,13.0,DtKFqZF5pM8,321,93.0,2018-08-27,6773.0
Sports,UCf0eXjFNpqMNHVliw_doJGg,0.0,lGa0CI_rM2I,151,14.0,2017-06-08,1038.0
Howto & Style,UCf0IG16HMcccDjp6o08876A,7.0,i3hjGRxHhY8,622,52.0,2017-12-31,2112.0
Gaming,UCf0CjzS9F2-rt6R2HyNlnzw,5.0,2z5YAJeurXw,968,68.0,2019-03-09,4671.0
Travel & Events,UCf0ANHBSjHnoRitq6kKKnNA,5.0,55Ytbr9sVyQ,690,117.0,2019-09-21,2008.0
Travel & Events,UCf0ANHBSjHnoRitq6kKKnNA,10.0,9o7vrRsel-g,887,106.0,2017-12-04,4236.0
People & Blogs,UCf0ANHBSjHnoRitq6kKKnNA,0.0,ryHtkg25zYM,23,21.0,2016-05-18,683.0
Music,UCf-wJr8GYfumISUiAvFJM7g,7.0,voRwWSIr6v4,240,211.0,2017-04-28,21443.0
Entertainment,UCf-k6-nJ6NzStEFdpBl03gQ,11.0,shGWflurnuU,202,103.0,2013-02-03,9865.0
Entertainment,UCf-k6-nJ6NzStEFdpBl03gQ,97.0,U5mXcUPX2MU,276,963.0,2011-07-29,132763.0
Gaming,UCezxSW8kVueIU0pr_rukbYA,2.0,4IkWfInmUas,7903,41.0,2018-07-18,1091.0
Gaming,UCezxSW8kVueIU0pr_rukbYA,9.0,4OjzwlVcHsE,385,214.0,2018-05-08,15157.0
People & Blogs,UCezeXvoKyzL2JQtq0qxAJ8Q,6.0,m9CpxY6iix0,225,291.0,2019-09-28,9011.0
Science & Technology,UCez_omvrfETJFkoQhSYR9Lw,5.0,gvVp-H2WewA,668,41.0,2019-04-07,1726.0
People & Blogs,UCezXJndWYi1zfla2s2VGbyw,39.0,2kXmGyUow9g,678,815.0,2016-05-17,19989.0
Science & Technology,UCezAeV6wGWn9x4c3_qNKpCA,1.0,Er3M3zYGsBo,21,0.0,2010-12-18,1029.0
Film & Animation,UCeykFCwBH0uu0KcKJjQyTmw,65.0,-dZUZzqtO-I,384,838.0,2018-02-04,88673.0
Autos & Vehicles,UCeyjIUxCdImo4pPe4Frgeng,1.0,5Z1xRhdmEiw,2187,133.0,2018-11-06,4777.0
Film & Animation,UCeyjIUxCdImo4pPe4Frgeng,0.0,9uC-94f9obM,253,53.0,2018-03-10,1265.0
People & Blogs,UCeyYXA_BIwXbAnHec2XQRwg,0.0,IXoWV5B-hK4,89,3.0,2017-03-26,118.0
People & Blogs,UCeyYXA_BIwXbAnHec2XQRwg,2.0,IO8plgBm2cA,560,5.0,2016-05-17,494.0
People & Blogs,UCeyYXA_BIwXbAnHec2XQRwg,0.0,OgISjOgnM-E,518,8.0,2015-11-10,165.0
Howto & Style,UCey8dJ_zcujU68c1q-I_bTA,363.0,58MPvb67OpQ,387,2230.0,2016-10-23,462989.0
Nonprofits & Activism,UCexppetVFUFG2ur9eHN48Yg,1.0,OQEwega1WbE,309,323.0,2019-06-21,2120.0
Gaming,UCexluNT2_0Vmh4uBaJeq76A,0.0,sVXOYX6I9xg,1978,2.0,2017-09-10,32.0
Gaming,UCexluNT2_0Vmh4uBaJeq76A,13.0,yCxnc5NlH_E,590,28.0,2017-03-19,8777.0
Entertainment,UCexaJ7S9Kg7MnFvI5ulWx-Q,22.0,6KiJwxhfYRA,527,792.0,2017-05-09,30706.0
Music,UCexaJ7S9Kg7MnFvI5ulWx-Q,393.0,UN2LUM-7HVc,160,9719.0,2015-05-22,1179169.0
Science & Technology,UCexYcmwrJRVQRV1UcrKiZHg,4.0,CJrKZOuBjoM,775,14.0,2015-06-02,1985.0
Autos & Vehicles,UCexBNrsy7U4o159wE7Ji09w,11.0,Ehodl4NzB0I,165,112.0,2019-02-07,10680.0
Howto & Style,UCexBNrsy7U4o159wE7Ji09w,11.0,yH9untF-NPg,195,161.0,2018-06-15,16520.0
Science & Technology,UCex2B-k-ZIJhcjRdlYUz4MQ,14.0,8-k7sPhrHoo,290,375.0,2018-05-25,43998.0
Gaming,UCex0NiWMSs8qP9bDCGdxWBw,24.0,HWQIYSm-o1Q,622,481.0,2019-05-10,25428.0
Gaming,UCex0NiWMSs8qP9bDCGdxWBw,6.0,dALROvrq9GA,1022,216.0,2018-08-10,6402.0
Gaming,UCex0NiWMSs8qP9bDCGdxWBw,12.0,E9ZZ-fBQ364,1056,356.0,2017-06-30,12830.0
Gaming,UCex0NiWMSs8qP9bDCGdxWBw,8.0,9mw8x0C5lIw,966,473.0,2017-05-02,24975.0
